mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.003462982177734375,0.0007410718545198407,0.008359718322753906,0.0010479312936532974,2,{'n_neighbors': 2},0.275,0.275,0.2564102564102564,0.41025641025641024,0.38461538461538464,0.3202564102564103,0.0638978783373578,5
0.0049496650695800785,0.0012253397340110178,0.010970830917358398,0.004609747599466483,3,{'n_neighbors': 3},0.2,0.3,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.2384615384615385,0.03299632398388802,29
0.0036673545837402344,0.00043663395609790876,0.008790063858032226,0.0021654899050148483,4,{'n_neighbors': 4},0.3,0.3,0.20512820512820512,0.358974358974359,0.38461538461538464,0.30974358974358973,0.06190914001467799,7
0.0035767555236816406,0.0010171580841934888,0.008080816268920899,0.000344982559014882,5,{'n_neighbors': 5},0.25,0.3,0.23076923076923078,0.3076923076923077,0.4358974358974359,0.3048717948717949,0.07169590248131427,8
0.004262256622314453,0.0008520061627388382,0.009190559387207031,0.0017303897571731047,6,{'n_neighbors': 6},0.35,0.3,0.3076923076923077,0.4358974358974359,0.41025641025641024,0.36076923076923073,0.0542572827228577,1
0.0046900749206542965,0.001224530491436575,0.013148260116577149,0.002363401039022971,7,{'n_neighbors': 7},0.325,0.275,0.28205128205128205,0.41025641025641024,0.46153846153846156,0.3507692307692308,0.0733971839655289,2
0.005346107482910156,0.0019883578874291185,0.008826112747192383,0.0015832571990833195,8,{'n_neighbors': 8},0.3,0.275,0.3076923076923077,0.358974358974359,0.2564102564102564,0.2996153846153846,0.03481802037830086,11
0.003942155838012695,0.0015212313131735785,0.010151052474975586,0.00339929044625174,9,{'n_neighbors': 9},0.35,0.275,0.2564102564102564,0.358974358974359,0.28205128205128205,0.30448717948717946,0.04177205606600651,9
0.0035268783569335936,0.0009617402205856615,0.007097578048706055,0.0009021427685780122,10,{'n_neighbors': 10},0.325,0.3,0.20512820512820512,0.358974358974359,0.28205128205128205,0.29423076923076924,0.05149634712538729,14
0.006596851348876953,0.00267039388378909,0.011313867568969727,0.003988930778156791,11,{'n_neighbors': 11},0.275,0.3,0.23076923076923078,0.358974358974359,0.28205128205128205,0.2893589743589744,0.04159777341939922,17
0.004765558242797852,0.001935350361217983,0.009405136108398438,0.0032669231343893535,12,{'n_neighbors': 12},0.275,0.325,0.20512820512820512,0.358974358974359,0.3333333333333333,0.2994871794871795,0.054476469535666025,12
0.0032491683959960938,0.0008014689253256208,0.007090330123901367,0.0014238070416733282,13,{'n_neighbors': 13},0.2,0.35,0.23076923076923078,0.358974358974359,0.358974358974359,0.2997435897435898,0.06963981721696169,10
0.0035316944122314453,0.0004103328235704388,0.00820608139038086,0.0014108434710556788,14,{'n_neighbors': 14},0.275,0.275,0.1794871794871795,0.358974358974359,0.3076923076923077,0.2792307692307693,0.058572488061029424,21
0.002637958526611328,0.0005241319905371702,0.007308006286621094,0.0017907265447733931,15,{'n_neighbors': 15},0.3,0.275,0.20512820512820512,0.3333333333333333,0.3333333333333333,0.2893589743589743,0.04750099483369442,18
