mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005537509918212891,0.00022919241377245778,0.0035768985748291016,0.000659406132457979,0.0001,{'gamma': 0.0001},0.3,0.3,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.31487179487179484,0.01533324757715492,3
0.005132055282592774,0.0010689856035680334,0.002999401092529297,0.0003567428000150333,0.001,{'gamma': 0.001},0.3,0.3,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.31487179487179484,0.01533324757715492,3
0.002849245071411133,0.0015412507968772424,0.0022255420684814454,0.0015702605105865088,0.01,{'gamma': 0.01},0.275,0.325,0.1794871794871795,0.38461538461538464,0.41025641025641024,0.3148717948717949,0.0824423772227013,2
0.005929708480834961,0.003320363604563402,0.004088258743286133,0.0016582954107115249,0.1,{'gamma': 0.1},0.325,0.325,0.23076923076923078,0.3076923076923077,0.20512820512820512,0.2787179487179487,0.05067168821788708,7
0.0037841320037841795,0.0003772688888033107,0.0032228946685791014,0.0008717779749380549,1,{'gamma': 1},0.275,0.275,0.23076923076923078,0.38461538461538464,0.5128205128205128,0.33564102564102566,0.10212131986549948,1
0.0036636829376220704,0.00042833782149814315,0.0021701335906982424,0.00016824125922193918,10,{'gamma': 10},0.3,0.225,0.2564102564102564,0.28205128205128205,0.4358974358974359,0.2998717948717949,0.07254688569876096,5
0.004694938659667969,0.0006116704177352932,0.003522300720214844,0.0004907354178907323,100,{'gamma': 100},0.3,0.225,0.2564102564102564,0.28205128205128205,0.4358974358974359,0.2998717948717949,0.07254688569876096,5
